ID,Date,Home,Away,Half_Status,Time,Game_Time,Game_Seconds,Home_Score,Away_Score,Event_Team,Event_Description,Player_1,Player_2,Event_Type,Event_Result,Shot_Value,Event_Length,Poss_Num,Poss_Team,Poss_Length,isTransition,Home.1,Home.2,Home.3,Home.4,Home.5,Away.1,Away.2,Away.3,Away.4,Away.5,Status,isGarbageTime,Sub_Deviate
4982542,NA,Duke,Coppin St.,1,15:55:00,04:05:00,245,8,10,Duke,"Jeremy Roach, substitution in",JEREMY.ROACH,NA,Enters Game,NA,NA,0,15,Duke,5,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,15:55:00,04:05:00,245,8,10,Coppin St.,"Kyle Cardaci, substitution in",KYLE.CARDACI,NA,Enters Game,NA,NA,0,15,Duke,5,TRUE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,15:55:00,04:05:00,245,8,10,Duke,"Joey Baker, substitution out",JOEY.BAKER,NA,Leaves Game,NA,NA,0,15,Duke,5,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,15:55:00,04:05:00,245,8,10,Duke,"DJ Steward, substitution in",DJ.STEWARD,NA,Enters Game,NA,NA,0,15,Duke,5,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,15:55:00,04:05:00,245,8,10,Duke,"Mark Williams, substitution in",MARK.WILLIAMS,NA,Enters Game,NA,NA,0,15,Duke,5,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,15:55:00,04:05:00,245,8,10,Coppin St.,"Nendah Tarke, substitution out",NENDAH.TARKE,NA,Leaves Game,NA,NA,0,15,Duke,5,TRUE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,15:45:00,04:15:00,255,8,10,Duke,"Jeremy Roach, turnover badpass",JEREMY.ROACH,NA,Turnover,NA,NA,10,15,Duke,15,FALSE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,15:45:00,04:15:00,255,8,10,Coppin St.,"Anthony Tarke, steal",ANTHONY.TARKE,NA,Steal,NA,NA,0,15,Duke,15,TRUE,JALEN.JOHNSON,WENDELL.MOORE,JOEY.BAKER,JORDAN.GOLDWIRE,MATTHEW.HURT,KOBY.THOMAS,NENDAH.TARKE,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,15:28:00,04:32:00,272,8,10,Coppin St.,"Chereef Knox, 3pt jumpshot fromturnover;  missed",CHEREEF.KNOX,NA,Three Point Jumper,missed,3,17,16,Coppin St.,17,FALSE,JEREMY.ROACH,DJ.STEWARD,MARK.WILLIAMS,JORDAN.GOLDWIRE,MATTHEW.HURT,CHEREEF.KNOX,KYLE.CARDACI,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
4982542,NA,Duke,Coppin St.,1,15:25:00,04:35:00,275,8,10,Coppin St.,"Kenan Sarvan, rebound offensive",KENAN.SARVAN,NA,Offensive Rebound,NA,NA,3,16,Coppin St.,20,FALSE,JEREMY.ROACH,DJ.STEWARD,MARK.WILLIAMS,JORDAN.GOLDWIRE,MATTHEW.HURT,CHEREEF.KNOX,KYLE.CARDACI,KENAN.SARVAN,DEJUAN.CLAYTON,ANTHONY.TARKE,CLEAN,FALSE,9
